nest_key,year,eggs_laid,female_id,male_id,found_date,hatch_date,eggs_hatched,fledglings,fledge_date,clutch_number,fail_date,found_day,hatch_day,first_egg_day,female_status,female_age,female_age_code,male_age,male_age_code,popn_size,annual_density,band_id,sex,weight,age_in_days,recruited,fledge_date_noNA,recruited.f,clutch_num,fledge_day
90-M21A,1990,5,940.25998,2011.81105,1990-06-10,1990-06-20,4,4,1990-06-29,1,NA,161,171,153,PG 2,3,ASY,2,ASY,100,9.345794392523365,2031.56093,U,8.8,7,FALSE,1990-06-29,0,1,180
102-P27B,2002,4,1741.07039,1560.05060,2002-06-15,2002-06-16,4,4,2002-06-29,1,NA,166,167,150,PG 1,1,SY,1,SY,110,10.280373831775702,1741.07176,U,8.9,7,FALSE,2002-06-29,0,1,180
88-L27B,1988,4,940.25578,2011.81125,1988-07-14,1988-07-20,4,3,1988-07-29,E2,NA,196,202,185,MO,2,ASY,1,SY,104,9.7196261682243,2020.39704,U,8.9,7,FALSE,1988-07-29,0,2,211
88-O28A,1988,4,2011.81172,940.25978,1988-07-01,1988-07-04,4,4,1988-07-13,E2,NA,183,186,169,MO,1,SY,1,SY,104,9.7196261682243,2011.81245,U,9,7,FALSE,1988-07-13,0,2,195
115-N27A,2015,4,2521.77742,2521.77599,2015-07-01,2015-07-10,2,2,2015-07-19,1,NA,182,191,174,MO,1,SY,1,SY,56,5.233644859813085,2521.77789,U,9,7,FALSE,2015-07-19,0,1,200
121-O24D,2021,5,2621.66952,2031.60701,2021-06-18,2021-06-19,5,4,2021-06-28,R1,NA,169,170,152,MO,5,ASY,2,ASY,77,7.196261682242991,2781.39392,NA,9,7,FALSE,2021-06-28,0,1,179
122-M25B,2022,4,2781.39208,2621.66881,2022-06-27,2022-07-03,4,4,2022-07-13,2,NA,178,184,167,MO,2,ASY,6,ASY,65,6.074766355140187,2871.51732,U,9,7,FALSE,2022-07-13,0,2,194
121-P24B,2021,4,2781.39240,2781.39241,2021-06-04,2021-06-12,4,4,2021-06-21,1,NA,155,163,146,MO,1,SY,1,SY,77,7.196261682242991,2781.39344,NA,9,7,FALSE,2021-06-21,0,1,172
88-M26C,1988,4,940.25925,940.25643,1988-07-05,1988-07-16,4,3,1988-07-25,2,NA,187,198,181,PG 1,2,ASY,2,ASY,104,9.7196261682243,2011.81983,U,9,7,FALSE,1988-07-25,0,2,207
100-N28D,2000,4,2121.65710,930.59720,2000-06-28,2000-07-05,4,4,2000-07-16,ER1,NA,180,187,170,MO,1,SY,1,SY,80,7.476635514018692,930.59729,U,9.1,7,FALSE,2000-07-16,0,1,198
90-L26B,1990,4,2011.81915,940.25652,1990-07-11,1990-07-12,4,4,1990-07-21,2,NA,192,193,176,MO,2,ASY,2,ASY,100,9.345794392523365,2031.56524,U,9.2,7,FALSE,1990-07-21,0,2,202
96-O27B,1996,6,2031.58840,2121.64401,1996-06-19,1996-06-28,6,4,NA,ER1,NA,171,180,161,PG 2,1,SY,1,SY,73,6.822429906542056,2121.64814,U,9.2,7,FALSE,1996-07-07,0,1,189
118-N27D,2018,4,2031.60690,2621.66938,2018-06-18,2018-06-28,4,4,2018-07-07,R1,NA,169,179,162,MO,1,SY,2,ASY,72,6.728971962616823,2631.94978,NA,9.2,7,FALSE,2018-07-07,0,1,188
122-M33D,2022,4,2031.60695,2781.39520,2022-07-09,2022-07-15,2,2,2022-07-25,2,NA,190,196,179,MO,5,ASY,2,ASY,65,6.074766355140187,2871.51769,NA,9.2,7,FALSE,2022-07-25,0,2,206
100-O24E,2000,4,2121.65625,2121.65378,2000-06-30,2000-07-10,4,2,2000-07-22,R1,NA,182,192,175,MO,1,SY,2,ASY,80,7.476635514018692,930.59761,U,9.2,7,FALSE,2000-07-22,0,1,204
121-M31D,2021,4,2781.39236,2781.39234,2021-06-10,2021-06-19,4,3,2021-06-28,R1,NA,161,170,153,MO,1,SY,1,SY,77,7.196261682242991,2781.39399,NA,9.2,7,FALSE,2021-06-28,0,1,179
